rank,feature,importance_abs,coef_signed
1,planning,94.000000,N/A
2,defined,90.000000,N/A
3,bristol uk,84.000000,N/A
4,series,81.000000,N/A
5,html,75.000000,N/A
6,fundacion,72.000000,N/A
7,customer service,69.000000,N/A
8,sevilla,66.000000,N/A
9,senior,64.000000,N/A
10,sevilla sevilla,59.000000,N/A
11,para,56.000000,N/A
12,reliability,56.000000,N/A
13,hands experience,53.000000,N/A
14,belgium,51.000000,N/A
15,degree aeronautical,50.000000,N/A
16,assisted,48.000000,N/A
17,sheets,48.000000,N/A
18,advanced,45.000000,N/A
19,engineers,43.000000,N/A
20,service,42.000000,N/A
21,sensors,41.000000,N/A
22,proyecto,39.000000,N/A
23,parcial,38.000000,N/A
24,industry,38.000000,N/A
25,b2 german,38.000000,N/A
26,cadiz,37.000000,N/A
27,services,34.000000,N/A
28,reino unido,33.000000,N/A
29,organizacion,33.000000,N/A
30,regulatory,33.000000,N/A
